Game,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,totalPool
ARMS,,,,,,,,,,,,,,,,3257.1,13297.14,1970.86,789.17,816.5,140915.38999999996
Acceleration of SUGURI 2,,,,,,,,,,,,,,,,,,210.0,100.0,100.0,2870.0
Age of Empires,100.0,625.0,,,289.25,,,880.0,308.0,3727.63,,1716.0,3740.0,12939.0,62321.8,27588.21,41426.72,10960.0,12066.0,994.2,1257772.6700000002
Age of Empires II,92866.0,27697.02,45565.2,40816.91,25332.54,21077.9,15676.44,10134.84,18559.75,10458.41,24942.94,33280.27,54558.71,203606.83,56311.14,99205.43,70953.33,138019.31,382802.2,640539.14,14086830.170000002
Age of Empires III,,,,,4500.0,21900.0,18000.0,2250.0,750.0,,345.0,2145.85,,1995.0,2120.0,3300.0,3750.0,9335.0,10553.0,19419.8,702545.55
Age of Empires IV,,,,,,,,,,,,,,,,,,,,84389.25,590724.75
Age of Empires Online,,,,,,,,,,100.0,,230.0,,,,500.0,1448.0,154.0,1246.56,1605.0,36984.91999999999
Age of Mythology,,55400.0,13328.0,4500.0,,100.0,1020.0,480.0,75.0,500.0,990.0,760.0,4259.0,556.0,5114.0,1876.0,1233.0,2387.0,4527.0,8205.0,737170.0
Aim Gods,,,,,,,,,,,,,,,,,,,250000.0,,1750000.0
Akatsuki Blitzkampf,,,,,,,,,,,,,,,,,,,20.0,,140.0
Among Us,,,,,,,,,,,,,,,,,,,66000.0,20000.0,602000.0
Apex Legends,,,,,,,,,,,,,,,,,,2861382.64,2224649.05,4351007.0,66059270.82999999
Aquapazza: Aquaplus Dream Match,,,,,,,,,,,,,,,160.0,,,85.0,,,1715.0
Arcana Heart 3,,,,,,,,,,1000.0,,,,,,,,,,,7000.0
Arcana Heart 3: LOVE MAX!!!!!,,,,,,,,,,,,,,,210.0,200.0,,,,,2870.0
Arcana Heart 3: Love Max Six Stars!!!!!,,,,,,,,,,,,,,,,,410.0,110.0,50.0,,3990.0
Arena of Valor,,,,,,,,,,,,,,,354141.38,1904369.0,6996116.76,10481395.34,10080778.32,17365745.6,330277824.8000001
Artifact Classic,,,,,,,,,,,,,,,,,48666.35,69272.34,1229.85,210.0,835649.7800000001
Artifact Foundry,,,,,,,,,,,,,,,,,,,774.5,400.0,8221.5
Asphalt 4,,,,,,,17500.0,12000.0,,,,,,,,,,,,,206500.0
Asphalt 9: Legends,,,,,,,,,,,,,,,,,,51520.0,,,360640.0
Assetto Corsa,,,,,,,,,,,,,,,,,15000.0,110003.3,235634.41,273888.54,4441683.75
Assetto Corsa Competizione,,,,,,,,,,,,,,,,,,,5338.0,262943.0,1877967.0
Asuka 120% LimitOver BURNING Fest.,,,,,,,,,,,,,,,,,,,10.0,,70.0
Attack on Titan Tribute Game,,,,,,,,,,,,,139063.53,220200.0,157000.0,380000.0,494250.0,,,,9733594.71
Audio Trip,,,,,,,,,,,,,,,,,,,250.0,400.0,4550.0
Auto Chess,,,,,,,,,,,,,,,,,,1076322.28,60098.0,8400.0,8013741.960000001
Battalion 1944,,,,,,,,,,,,,,,,,78576.62,128078.05,,,1446582.6899999997
Battlefield 2,,,,3148.82,79074.59,6514.86,2976.95,,,,,,,,,,,,,,642006.5399999999
Battlefield 2142,,,,,,18546.14,,,,,,,,,,,,,,,129822.98
Battlefield 3,,,,,,,,,,,25407.46,,,,,,,,,,177852.21999999997
Battlefield 4,,,,,,,,,,,,15408.65,128323.18,83382.97,6070.68,2305.53,10275.45,,,,1720365.22
Battlefield Hardline,,,,,,,,,,,,,,13463.28,,,,,,,94242.96
Battlerite,,,,,,,,,,,,,,,12881.74,23541.71,28750.0,,,,456214.15
Beat Aim,,,,,,,,,,,,,,,,,,,430.0,,3010.0
Big Buck Hunter Arcade,,,,,,,,,,,,,,,,,,76200.0,,,533400.0
Black Squad,,,,,,,,,,,,,,,,,4470.29,4010.43,,,59365.04
Blade & Soul,,,,,,,,,,,,,,103401.12,156182.4,149772.0,,,,,2865488.64
Blaston,,,,,,,,,,,,,,,,,,,,2428.12,16996.839999999997
BlazBlue: Calamity Trigger,,,,,,,,35.0,,,,,,,,,,,,,245.0
BlazBlue: Central Fiction,,,,,,,,,,,,,,,2836.51,28760.0,7523.06,39752.85,3296.84,807.65,580838.3699999999
BlazBlue: Chronophantasma,,,,,,,,,,,,,36535.0,485.58,,,,,,,259144.06000000006
BlazBlue: Chronophantasma Extend,,,,,,,,,,,,,,944.21,3974.56,,,,,,34431.39
BlazBlue: Continuum Shift Extend,,,,,,,,,,,,0.0,,,,,,,,,0.0
BlazBlue: Continuum Shift II,,,,,,,,,,7591.43,16999.58,,,,,,,,,,172137.07000000004
BlazBlue: Cross Tag Battle,,,,,,,,,,,,,,,,,19463.33,62376.7,14026.79,210.0,672537.74
Bloodline Champions,,,,,,,,,,20000.0,21450.0,,,,455.32,,,,,,293337.24
Borderlands 3,,,,,,,,,,,,,,,,,,50000.0,,,350000.0
Brawl Stars,,,,,,,,,,,,,,,,,,288700.0,1056250.0,1213000.0,17905650.0
Brawlhalla,,,,,,,,,,,,,,3710.0,78931.09,170667.7,297604.7,523239.0,595811.6,684407.0,16480597.629999999
Breakers Revenge,,,,,,,,,,,,,,,,,,,16.0,,112.0
Call of Duty,,,50000.0,629.77,4170.0,,,,,,,,,,,,,,,,383598.39
Call of Duty 2,,,,,31249.28,29089.98,,4401.02,,,1014.32,,,,,1073.91,,,,,467799.57000000007
Call of Duty 4: Modern Warfare,,,,,,6273.0,218907.09,109724.84,39665.91,19730.91,16525.03,5850.23,6028.93,2703.33,,,,,,,2977864.89
Call of Duty: Advanced Warfare,,,,,,,,,,,,,126947.81,2484861.12,,,,,,,18282662.51
Call of Duty: Black Ops,,,,,,,,,,376553.48,240.0,,,,,,,,,,2637554.36
Call of Duty: Black Ops 2,,,,,,,,,,,29997.95,1432141.3,,5000.0,,,,,12000.0,,10353974.75
Call of Duty: Black Ops 4,,,,,,,,,,,,,,,,,321249.95,6383189.0,30000.0,,47141072.650000006
Call of Duty: Black Ops Cold War,,,,,,,,,,,,,,,,,,,256000.0,6043000.0,44093000.0
Call of Duty: Black Ops III,,,,,,,,,,,,,,77597.45,3862185.84,,,,,,27578483.029999997
